Tokenizer,AvgTokenCount,AvgTokenizationTime
LLaMA3.1-Base,68.11,0.00016322307400605497
LAPT,68.11,0.00016758988401215902
SAVA,57.486,0.0001418074160001197
FVT,57.486,0.00013760548200480115
